X,Longitud,TIPOCEN2,TIPOVIAL,DIRECCION,NUM,MUNICIPIO
-3.74795982880254,40.3731857190519,Centro de Salud Guayaba,Calle,Antonia Rodrlguez Sacristin,4,Madrid
-3.71358822871566,40.4312681221481,Centro de Salud Guzmcn el Bueno,Calle,Guzmen El Bueno,11,Madrid
-3.67799739643174,40.4185183238094,Centro de Salud Ibiza,Calle,Ibiza,7,Madrid
-3.69946576683525,40.4530120781516,Centro de Salud Infanta Mercedes,Calle,Infanta Mercedes,7,Madrid
-3.7269273635859,40.4678696020453,Centro de Salud Isla de Oza,Calle,San Martin de Porres,6,Madrid
-3.66318310620625,40.4823339348192,Centro de Salud Jazm,Calle,Jazmen,33,Madrid
-3.70975153711489,40.3814176031424,Centro de Salud Joaqunn Rodrigo,Calle,Mariano Vela,62,Madrid
-3.66160014798831,40.3714507386879,Centro de Salud Josq MarRa Llanos,Calle,Cabo Machichaco,62,Madrid
-3.69673124040924,40.4634339654783,Centro de Salud Josq Marva,Calle,Bravo Murillo,317,Madrid
-3.69677689454479,40.4244607442615,Centro de Salud Justicia,Calle,Regueros,3,Madrid
-3.6988781736257,40.471420966097,Centro de Salud La Ventilla,Avenida,Asturias,61,Madrid
-3.68420564097002,40.4356079215676,Centro de Salud Lagasca,Calle,Lagasca,122,Madrid
-3.76848410630157,40.3787809279766,Centro de Salud Las sguilas I y II,Calle,Jose de Cadalso,51,Madrid
-3.70564649129816,40.3899382972421,Centro de Salud Las Calesas,Calle,Calesas,12,Madrid
-3.69900454669716,40.4164562800524,Centro de Salud Cortes,Carrera,San Jer,32,Madrid
-3.70385123959041,40.4076250343129,Centro de Salud Lavapi,Calle,Embajadores,41,Madrid
-3.69164567388523,40.3895994616294,Centro de Salud Legazpi,Calle,Antracita,2,Madrid
-3.72044985887378,40.4136039050431,Centro de Salud Linneo,Calle,Linneo,3,Madrid
-3.66599976475227,40.4318493664191,Centro de Salud Londres,Calle,Londres,55,Madrid
-3.60458770632995,40.4279075422783,Centro de Salud Los Alpes,Calle,Suecia,62,Madrid
-3.69849690778164,40.3513686388823,Centro de Salud Los Angeles,Calle,Totanes,1,Madrid
-3.73736855818254,40.3968034728017,Centro de Salud Los Cnrmenes,Calle,Via Carpetana,202,Madrid
-3.68789292688939,40.3530988855883,Centro de Salud Los Rosales,Calle,Diamante,12,Madrid
-3.75369707796812,40.395445932949,Centro de Salud Los Yobenes,Calle,Yabenes,46,Madrid
-3.75065196509909,40.4013576639326,Centro de Salud Lucero,Calle,Latina,14,Madrid
-3.76596530843562,40.3966536096421,Centro de Salud Maqueda,Calle,Seseea,44,Madrid
-3.64234768253622,40.4724967036715,Centro de Salud Mar Bdltico,Calle,Mar B,2,Madrid
-3.71381986590795,40.4576270165062,Centro de Salud Maria Auxiliadora,Calle,Maria Auxiliadora,3,Madrid
-3.70185933384052,40.4030695491589,Centro de Salud Martan de Vargas,Calle,Marten de Vargas,15,Madrid
-3.66552369740718,40.3919149379013,Centro de Salud Martanez de la Riva,Calle,Martenez de la Riva,57,Madrid
-3.71878601505799,40.4908933182465,Centro de Salud Mirasierra,Calle,Mirador de la Reina,117,Madrid
-3.65683541231484,40.4774783193337,Centro de Salud Monovar,Calle,Monovar,11,Madrid
-3.67196527306822,40.4306616901042,Centro de Salud Montesa,Calle,Montesa,38,Madrid
-3.74876918541938,40.3792616173958,Centro de Salud Nuestra Se,Avenida,Ntra. Sra. de F tima,93,Madrid
-3.65818654523693,40.4019480112692,Centro de Salud Numancia,Calle,Puerto de Cotos,2,Madrid
-3.68528086337922,40.4683402367459,Centro de Salud Numez Morgado,Calle,Nalez Morgado,4,Madrid
-3.71408989662774,40.3727781945205,Centro de Salud Orcasitas,Calle,Cestona,3,Madrid
-3.70056062732927,40.3653113047199,Centro de Salud Orcasur,Calle,Arenas del Rey,1,Madrid
-3.67704275337777,40.407947286268,Centro de Salud Pacafico,Calle,Reyes Magos,21,Madrid
-3.70736194667569,40.4266307037268,Centro de Salud Palma-Universidad,Calle,Palma,59,Madrid
-3.69889930107433,40.3971685203171,Centro de Salud Parroco Julio Morate,Calle,Parroco Julio Morate,3,Madrid
-3.74330142575351,40.4059006666642,Centro de Salud Pascual Rodroguez,Calle,Pascual Rodrlguez,21,Madrid
-3.71441855800662,40.4016592898179,Centro de Salud Paseo Imperial,Calle,Toledo,180,Madrid
-3.62897211338117,40.3993178013887,Centro de Salud Pavones,Calle,Hacienda de Pavones,271,Madrid
-3.66791007948511,40.3985138480501,Centro de Salud Pesa Prieta-Especialidades,Calle,Altos de Cabrejas,4,Madrid
-3.70978035761862,40.3504801122974,Centro de Salud Potes,Calle,Potes,0,Madrid
-3.67943525168445,40.4571495588525,Centro de Salud Potos,Calle,Potos,7,Madrid
-3.67922743916453,40.4400246693753,Centro de Salud Prtncipe de Vergara,Calle,Prlncipe de Vergara,111,Madrid
-3.66952838235346,40.4440902611382,Centro de Salud Prosperidad,Calle,Canillas,99,Madrid
-3.73286065958219,40.3842374471945,Centro de Salud Puerta Bonita,Calle,Alegria,24,Madrid
-3.73529581692181,40.4109879112966,Centro de Salud Puerta del Angel,Paseo,Extremadura,113,Madrid
-3.7178656265976,40.3977910695431,Centro de Salud Quince de Mayo,Paseo,Quince de Mayo,10,Madrid
-3.63912522537971,40.3888566201022,Centro de Salud Rafael Alberti,Calle,San Claudio,154,Madrid
-3.70752667252242,40.4468459154085,Centro de Salud Reina Victoria,Avenida,Reina Victoria,21,Madrid
-3.59268525263891,40.4431764420303,Centro de Salud Rejas,Calle,Euterpe,12,Madrid
-3.71251183002292,40.3426073405387,Centro de Salud San Andrcs,Calle,Alberto Palacios,22,Madrid
-3.685146056235,40.343484405169,Centro de Salud San Cristobal,Calle,Benimamet,24,Madrid
-3.69303825986966,40.3714287748162,Centro de Salud San Fermtn,Avenida,de San Ferman,3,Madrid
-3.65733543620737,40.4936645603301,Centro de Salud Sanchinarro,Calle,Ana de Austria,26,Madrid
-3.66992768368612,40.4451149749012,Centro de Salud Santa Hortensia,Calle,Santa Hortensia,14,Madrid
-3.70989040200918,40.4137142670875,Centro de Salud Segovia,Calle,Segovia,4,Madrid
-3.68536666573166,40.4512496894742,Centro de Salud Segre,Calle,Segre,27,Madrid
-3.63500474188789,40.4631589265168,Centro de Salud Silvano,Avenida,Machu Pichu,58,Madrid
-3.64623134231813,40.4062677317316,Centro de Salud Torito,Calle,Camino de los Vinateros,140,Madrid
-3.6220969341002,40.4000396861716,Centro de Salud Valdebernardo,Bulevar,Indalecio Prieto,26,Madrid
-3.71140864630011,40.4638400546869,Centro de Salud Valdezarza-Sur,Calle,Azuaga,13,Madrid
-3.77456893770929,40.3762358069263,Centro de Salud Valle Incl-n,Calle,Valle InclSn,97,Madrid
-3.71351284078637,40.4252505609471,Centro de Salud Ventura Rodr,Calle,Ventura Rodriguez,7,Madrid
-3.66116570341454,40.4582915360241,Centro de Salud Vicente Muzas,Calle,Vicente Muzas,8,Madrid
-3.66710858047263,40.388941813259,Centro de Salud Vicente Soldevilla,Calle,Sierra de Alquife,8,Madrid
-3.62216678421113,40.3717777193686,Centro de Salud Villa de Vallecas,Calle,Fuentidue a,12,Madrid
-3.7063097745083,40.4578893660823,Centro de Salud Villaamil,Calle,Villaamil,19,Madrid
-3.59926245852248,40.4057008769617,Centro de Salud Villablanca,Calle,Villablanca,81,Madrid
-3.6849944003502,40.484260760924,Centro de Salud Virgen de Begoca,Avenida,del Llano Castellano,3,Madrid
-3.66336715850006,40.4878463555473,Centro de Salud Virgen del Cortijo,Avenida,Manoteras,47,Madrid
-3.7816918932263,40.4563591250723,Centro de Salud Aravaca,Calle,Riaza,5,Madrid (Aravaca)
-3.86837152904379,40.4770375002994,Centro de Salud Cerro del Aire,Avenida,Espaia,7,Majadahonda
-3.86499153163568,40.4489910649407,Centro de Salud Valle de la Oliva,Calle,Enrique Granados,2,Majadahonda
-3.86198625057089,40.7298154306029,Centro de Salud Manzanares el Real,Calle,Calada de los Toros,8,Manzanares El Real
-3.32971496538302,40.5507029717849,Centro de Salud Meco,Camino,Virgen de la Cabeza,6,Meco
-3.48248169784769,40.3971209101058,Centro de Salud Mejorada del Campo,Calle,Ciudad de Paris,22,Mejorada del Campo
-3.86227526540938,40.3230380306786,Centro de Salud Alcalde Bartolomp Gonzalez,Calle,de la Independencia,8,Mostoles
-3.85445808604022,40.3257176959301,Centro de Salud Barcelona,Calle,Barcelona,31,Mostoles
-3.85704884725006,40.3165002017712,Centro de Salud Dr. Luengo Rodrmguez,Calle,Nueva York,16,Mostoles
-3.87177850275629,40.3188045814807,Centro de Salud Dos de Mayo,Calle,Coronel de Palma,1,Mostoles
-3.8825135705323,40.3288224052388,Centro de Salud El Soto,Avenida,Olempica,38,Mostoles
-3.85368583935599,40.3204800819424,Centro de Salud Felipe II,Avenida,Felipe II,10,Mostoles
-3.85884160233855,40.3298024023338,Centro de Salud La Princesa,Calle,Severo Ochoa,4,Mostoles
-3.93197551165773,40.308983787298,Centro de Salud Parque Coimbra,Avenida,de los Sauces,57,Mostoles
-3.86984861963913,40.3335039799963,Centro de Salud Presentacimn Sabio,Calle,Alonso Cano,8,Mostoles
-4.01456394615939,40.2901175781268,Centro de Salud Navalcarnero,Calle,de la Doctora,10,Navalcarnero
-4.25269299822624,40.3830445590887,Centro de Salud Navas del Rey,Avenida,de Madrid,62,Navas del Rey
-3.53239955496488,40.5065237906039,Centro de Salud Paracuellos del Jarama,Calle,Chorrillo Alta,26,Paracuellos del Jarama
-3.76484163582547,40.2346039571867,Centro de Salud Isabel II,Calle,Isabel II,15,Parla
-3.7626492061277,40.228834450054,Centro de Salud Las Am ricas,Avenida,America,6,Parla
-3.76405422114085,40.2440328809935,Centro de Salud Pintores,Calle,Cuenca,0,Parla
-3.7742147746852,40.2411634650368,Centro de Salud San Blas,Calle,San Blas,24,Parla
-3.35169612451617,40.2316866950564,Centro de Salud Perales de Taju a,Avenida,Paz,5, Perales de Tajuña
-3.69492906686799,40.2514778504169,Centro de Salud Parque Europa,Plaza,David MartSn,0,Pinto
-3.69759551918247,40.2420560919396,Centro de Salud Pinto,Calle,del Marqu s,0,Pinto
-3.81459209450346,40.4305825271368,Centro de Salud Pozuelo-Centro/S. Juan de la Cruz,Avenida,San Juan de la Cruz,4,Pozuelo de Alarcón
-3.80234766969566,40.4389113750933,Centro de Salud Pozuelo-Estaci/n,Calle,de la Emisora,5,Pozuelo de Alarcón
-3.78175637738123,40.4110254471057,Centro de Salud Somosaguas,Calle,Plasencia,0,Pozuelo de Alarcón
-3.8780037139249,40.9021239350222,Centro de Salud Rascafrua,Avenida,Ribera de Artiduelo,2,Rascafria
-3.54921685882109,40.364327221928,Centro de Salud La Paz-Rivas,Calle,Parque de Asturias,0,Rivas Vaciamadrid
-3.53393301336598,40.3603356556991,Centro de Salud Santa Monica,Calle,Acacias,120,Rivas Vaciamadrid
-3.52144048567345,40.3393291544727,Centro de Salud Primero de mayo,Avda.,1 de mayo c/v Avda. Vel zquez,0,Rivas-Vaciamadrid
-4.23978813512037,40.498288781858,Centro de Salud Robledo de Chavela,Carretera,Navas del Rey,4,Robledo de Chavela
-3.53398872483275,40.4270569766973,Centro de Salud Los Alperchines,Calle,Cardoba,4,San Fernando de Henares
-3.52994150151339,40.4220845699781,Centro de Salud San Fernando,Plaza,Ondarreta,1,San Fernando de Henares
-4.1497066264182,40.5919193393215,Centro de Salud San Carlos,Calle,Xavier Cabello Lapiedra,1,San Lorenzo de El Escorial
-3.5784877011646,40.2101078326328,Centro de Salud San Martan de la Vega,Avenida,Doce de Octubre,6,San Martín de la Vega
-4.40096988423598,40.3645146098959,Centro de Salud San Martan de Valdeiglesias,Calle,de la Bola,1,San Martln de Valdeiglesias
-3.63040140181068,40.5447509715675,Centro de Salud Reyes Catalicos,Avenida,de Espa,20,San Sebastian de los Reyes
-3.63229613700761,40.5591187501698,Centro de Salud Rosa Luxemburgo,Avenida,Aragin,6,San Sebastian de los Reyes
-3.62269274321114,40.5501620580486,Centro de Salud V Centenario,Calle,Real,91,San Sebastian de los Reyes
-3.78775139760999,40.7511105883664,Centro de Salud Soto del Real,Calle,Cristal,2,Soto del Real
-3.461246347215,40.4504332941306,Centro de Salud Brtjula,Calle,Brljula,0,Torrejón de Ardoz
-3.48375948871359,40.4587196813994,Centro de Salud Fronteras,Calle,Puerto de Navacerrada,4,Torrejón de Ardoz
-3.45929891449588,40.4640537115225,Centro de Salud Juncal,Avenida,Madrid c/v Brasil,39,Torrejón de Ardoz
-3.45257971900756,40.457638752723,Centro de Salud La Plata,Avenida,Uninn Europea,4,Torrejón de Ardoz
-3.47259670627437,40.4646938026538,Centro de Salud Las Veredillas,Calle,Turln,37,Torrejón de Ardoz
-3.4704939252982,40.4439455415741,Centro de Salud Los Fresnos,Calle,Zeus c/v Joaqudn Blume,0,Torrejón de Ardoz
-3.53862878266562,40.8238354885292,Centro de Salud Torrelaguna,Calle,Malacuera,26,Torrelaguna
-3.92952653356911,40.58108181482,Centro de Salud Torrelodones,Avenida,de la Dehesa,63,Torrelodones
-3.36395481735622,40.4067260323922,Centro de Salud Torres de la Alameda,Plaza,del Juego de la Pelota,6,Torres de la Alameda
-3.71261077924314,40.6063978192903,Centro de Salud Tres Cantos,Calle,Sector Oficios,12,Tres Cantos
-3.70350458716399,40.5991925873192,Centro de Salud Tres Cantos II,Calle,Sector Embarcaciones,36,Tres Cantos
-3.67812299355213,40.1851065229896,Centro de Salud El Reston,Avenida,Mar Mediterrlneo,1,Valdemoro
-3.68527695474173,40.1921277662638,Centro de Salud Valdemoro,Calle,Parla,14,Valdemoro
-4.30019400036425,40.274539391898,Centro de Salud Villa del Prado,Paseo,de la Estaciln,2,Villa del Prado
-4.0018343753825,40.4468049810984,Centro de Salud Villanueva de la Caaada,Calle,de las Eras de MVstoles,18, Villanueva de la Cañada
-3.27526395728037,40.1702689217791,Centro de Salud Villarejo de Salvanas,Calle,Hospital,7,Villarejo de Salvanés
-3.90826388474978,40.3591098023349,Centro de Salud Villaviciosa de Odnn,Avenida,Principe de Asturias,173,Villaviciosa de Odín
